@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atLee numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute destClass ,1}

@data
67,44,48,54,40,69,19,23,23,73,41,55,50,46,70,26,50,26,41,46,41,26,49,25,69,25,49,45,40,54,22,72,23,55,22,25,40,25,40,45,22,54,23,46,22,45,23,26,1.0
68,47,47,52,42,59,25,22,31,65,43,53,48,48,71,25,48,25,43,48,43,25,47,24,70,24,47,47,42,52,30,64,31,53,30,24,42,24,42,47,30,52,31,48,30,47,31,25,1.0
67,37,51,51,39,73,17,21,20,76,41,54,54,40,71,24,55,24,41,41,42,25,54,24,70,24,54,40,41,53,19,75,20,54,19,24,41,24,41,40,19,53,20,41,19,40,20,25,1.0
72,37,51,59,31,66,22,18,26,70,34,62,54,41,75,20,55,21,34,41,34,21,54,20,74,20,54,40,33,60,24,69,26,62,25,20,33,20,33,40,25,61,26,41,25,40,26,21,1.0
84,29,47,50,24,79,9,0,12,83,34,60,55,38,90,4,57,6,35,39,35,6,56,5,89,5,56,34,30,58,10,82,13,61,12,5,34,5,34,38,12,60,13,39,12,38,13,6,0.0
70,43,47,55,39,61,25,20,30,66,40,56,50,46,73,23,50,23,40,46,40,23,49,22,72,22,49,45,39,55,29,65,30,56,29,22,39,22,39,45,29,55,30,46,29,45,30,23,0.0
72,23,63,49,35,76,16,20,17,78,40,54,67,27,74,21,68,22,41,27,41,22,67,21,73,20,66,27,40,54,17,77,17,55,17,21,40,21,40,27,17,54,18,28,17,27,18,22,0.0
72,36,52,47,39,74,6,10,13,82,43,51,55,39,79,16,56,17,44,40,44,17,55,16,78,16,55,39,43,51,13,81,14,52,13,16,43,16,43,39,13,51,14,40,13,39,14,17,0.0
79,32,54,44,34,80,8,5,11,84,41,52,58,35,85,10,59,10,42,36,43,11,58,10,84,10,58,34,40,52,11,83,11,53,11,10,42,10,42,36,11,52,12,37,11,36,12,11,1.0
62,41,51,55,39,61,33,30,34,62,40,56,52,43,64,31,53,32,40,43,40,32,52,31,63,31,52,42,39,55,33,61,34,56,33,31,39,31,39,42,33,55,34,43,33,42,34,32,1.0
