@relation 'Sax dominant'

@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atLccc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMbca numeric
@attribute o1atLbca numeric
@attribute destClass {0,1}

@data
29,36,55,37,29,66,27,65,27,27,66,55,36,56,38,28,65,35,28,38,56,35,54,65,27,36,27,65,28,67,58,36,57,35,27,35,29,37,27,36,29,38,27,37,28,38,28,36,27,37,0
43,25,59,29,43,52,41,51,41,41,52,60,29,61,30,42,51,23,42,30,64,25,57,51,41,29,41,51,42,53,65,25,65,24,41,25,43,29,41,29,43,30,41,29,42,30,42,29,41,29,1
35,34,56,35,35,58,33,57,29,30,60,57,35,58,36,34,56,33,32,36,58,34,56,56,33,35,31,59,32,61,59,34,59,33,33,34,35,35,31,35,35,36,30,35,34,36,34,35,33,35,0
35,32,51,36,35,59,34,58,32,32,60,53,35,54,37,34,57,28,33,37,57,31,50,57,34,35,33,59,33,60,59,32,58,29,34,31,35,36,33,35,35,37,32,36,34,37,34,35,34,36,1
25,27,54,32,25,67,24,66,18,18,70,56,32,57,33,24,63,25,21,33,61,27,51,63,24,32,21,69,21,70,62,27,62,25,24,27,25,32,21,32,25,33,18,32,24,33,24,32,24,32,1
37,25,57,29,37,56,37,56,35,35,57,61,29,61,29,37,55,21,36,29,65,25,57,55,37,29,36,57,36,57,65,25,65,21,37,25,37,29,36,29,37,29,35,29,37,29,37,29,37,29,1
26,30,58,32,25,66,25,66,21,21,68,59,32,60,32,25,64,28,24,33,61,30,58,64,25,32,23,68,23,69,62,30,62,29,25,30,25,32,23,32,26,32,21,32,26,32,25,32,25,32,1
28,35,48,39,28,66,26,65,25,25,67,50,38,51,40,27,65,30,26,40,54,34,48,64,26,38,25,66,26,68,56,35,55,32,26,34,28,39,25,38,28,40,25,39,27,40,27,38,26,39,1
40,37,52,39,40,53,38,52,35,36,55,52,38,53,40,39,52,35,37,40,54,36,51,51,38,38,36,54,37,56,56,37,55,36,38,36,40,39,36,38,40,40,36,39,39,40,39,38,38,39,1
29,15,63,21,28,56,27,56,14,16,65,64,20,65,21,27,52,12,20,23,71,15,59,49,29,22,20,65,20,65,72,15,72,14,29,15,29,22,20,22,28,21,16,22,29,23,27,20,27,21,1
28,31,55,33,28,66,24,65,24,24,67,56,31,57,35,26,64,28,26,35,59,29,54,64,25,32,24,66,26,68,61,31,60,29,26,30,28,33,25,33,28,35,24,34,26,35,27,31,24,34,0
38,33,49,37,38,57,36,56,36,36,57,52,37,53,38,37,56,29,37,38,56,33,49,56,36,37,36,56,37,58,57,33,57,30,36,33,38,37,36,37,38,38,36,37,37,38,37,37,36,37,0
32,30,57,32,31,54,31,54,18,22,62,59,32,60,32,31,53,28,24,33,61,30,57,50,31,32,23,62,23,63,62,30,62,28,31,30,31,32,23,32,32,32,22,32,32,32,31,32,31,32,1
30,28,55,33,30,60,28,59,19,22,65,55,33,56,34,29,58,26,24,34,60,28,52,57,28,33,23,64,24,66,61,28,61,28,28,28,30,33,23,33,30,34,22,33,29,34,29,33,28,33,1
42,37,53,38,42,51,40,50,37,37,53,54,37,55,39,41,49,35,39,39,55,36,53,48,40,37,38,52,39,54,57,37,56,35,40,36,42,38,38,37,42,39,37,38,41,39,41,37,40,38,1
32,31,59,32,32,61,31,60,27,29,63,60,31,61,33,31,60,29,29,33,61,30,59,60,31,31,29,62,29,63,63,31,62,29,31,30,32,32,29,31,32,33,29,32,31,33,31,31,31,32,1
37,34,56,35,37,55,36,54,31,31,58,57,34,58,36,36,52,32,33,36,58,33,56,51,36,34,33,57,33,58,60,34,59,32,36,33,37,35,33,34,37,36,31,35,36,36,36,34,36,35,1
29,37,46,41,29,63,27,62,21,22,66,48,40,49,42,28,60,32,25,42,52,36,46,60,27,40,24,65,25,67,54,37,53,34,27,36,29,41,24,40,29,42,22,41,28,42,28,40,27,41,1
30,20,58,26,30,62,29,61,23,25,65,61,25,62,27,29,60,15,26,27,67,19,56,60,29,25,26,64,26,65,69,20,68,16,29,19,30,26,26,25,30,27,25,26,29,27,29,25,29,26,1
41,33,57,34,40,49,41,49,34,35,53,58,34,59,34,40,47,32,37,35,59,33,57,46,41,34,37,53,36,53,60,33,60,32,41,33,40,34,37,34,41,34,35,34,41,34,40,34,41,34,1
29,35,55,36,29,66,27,65,27,27,66,56,36,57,37,28,65,34,28,37,57,35,55,65,27,36,27,65,28,67,58,35,58,34,27,35,29,36,27,36,29,37,27,36,28,37,28,36,27,36,1
15,9,70,15,14,74,14,73,5,7,80,72,15,73,15,14,72,6,8,16,78,9,67,69,14,15,8,79,8,80,79,9,79,7,14,9,14,15,8,15,15,16,7,15,14,15,14,15,14,15,1
42,32,57,34,41,50,40,49,36,37,53,57,34,58,34,41,49,31,38,35,59,32,56,47,40,34,37,52,38,54,60,32,60,32,40,32,41,34,37,34,42,35,37,34,41,34,41,34,40,34,1
31,29,61,30,31,64,29,63,29,29,64,62,29,63,31,30,63,27,30,31,63,28,61,63,29,29,29,63,30,65,65,29,64,27,29,28,31,30,29,29,31,31,29,30,30,31,30,29,29,30,1
